rank,pain_score,company,domain,integration_opportunity,axis1_key_integration,axis2_complexity,sor_hits,jobs_pain_score,integration_jobs,integration_job_titles,silo_jobs,silo_job_titles,ats,has_full_time_cto,leadership_count,tech_count,total_employees,technical_ratio,funding_range,industry,why_i_believed,opener
137,10.5,"MedLever, Inc.",medlever.com,EHR/clinical-data integration (Epic/athena/HL7-FHIR),3,1,interoperability,0,0,,0,,,no,0,3,11,0.273,$1M - $5M,Software Development,depends on interoperability; no full-time CTO detected; 3 technical of ~11 staff (ratio 0.273),"Hi there, I work as a fractional CTO on exactly your situation — MedLever, Inc. where you've got engineers but no full-time technical lead and EHR/clinical-data integration (Epic/athena/HL7-FHIR) looks central to your growth. I led EHR/clinical-data integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
138,10.5,International TechneGroup Inc.,iti-global.com,EHR/clinical-data integration (Epic/athena/HL7-FHIR),3,1,interoperability,0,0,,0,,,no,2,30,94,0.319,$1M - $5M,Software Development,depends on interoperability; no full-time CTO detected; 30 technical of ~94 staff (ratio 0.319),"Hi there, I work as a fractional CTO on exactly your situation — International TechneGroup Inc. where you've got engineers but no full-time technical lead and EHR/clinical-data integration (Epic/athena/HL7-FHIR) looks central to your growth. I led EHR/clinical-data integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
139,10.5,"HBI Solutions, Inc.",hbisolutions.com,EHR/clinical-data integration (Epic/athena/HL7-FHIR),3,1,interoperability,0,0,,0,,,no,0,2,14,0.143,$10M - $25M,Software Development,depends on interoperability; no full-time CTO detected; 2 technical of ~14 staff (ratio 0.143),"Hi there, I work as a fractional CTO on exactly your situation — HBI Solutions, Inc. where you've got engineers but no full-time technical lead and EHR/clinical-data integration (Epic/athena/HL7-FHIR) looks central to your growth. I led EHR/clinical-data integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
140,10.5,Zeck,zeck.app,Salesforce integration,3,1,salesforce,0,0,,0,,,no,0,3,44,0.068,$5M - $10M,Internet Publishing,depends on salesforce; no full-time CTO detected; 3 technical of ~44 staff (ratio 0.068),"Hi there, I work as a fractional CTO on exactly your situation — Zeck where you've got engineers but no full-time technical lead and Salesforce integration looks central to your growth. I led Salesforce integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
141,10.5,"AscendTMS (TheFreeTMS.com) By InMotion Global, Inc.",thefreetms.com,Salesforce integration,3,1,salesforce,0,0,,0,,,no,0,1,12,0.083,$5M - $10M,Truck Transportation,depends on salesforce; no full-time CTO detected; 1 technical of ~12 staff (ratio 0.083),"Hi there, I work as a fractional CTO on exactly your situation — AscendTMS (TheFreeTMS.com) By InMotion Global, Inc. where you've got engineers but no full-time technical lead and Salesforce integration looks central to your growth. I led Salesforce integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
142,10.5,"ERP Maestro, Inc (acquired by SailPoint)",erpmaestro.com,ERP integration (NetSuite/SAP/Dynamics),3,1,sap,0,0,,0,,,no,0,1,10,0.1,$10M - $25M,Software Development,depends on sap; no full-time CTO detected; 1 technical of ~10 staff (ratio 0.1),"Hi there, I work as a fractional CTO on exactly your situation — ERP Maestro, Inc (acquired by SailPoint) where you've got engineers but no full-time technical lead and ERP integration (NetSuite/SAP/Dynamics) looks central to your growth. I led ERP integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
143,10.5,Enerex,enerex.com,claims/EDI integration,3,1,edi,0,0,,0,,,no,0,4,52,0.077,$1M - $5M,"Technology, Information and Internet",depends on edi; no full-time CTO detected; 4 technical of ~52 staff (ratio 0.077),"Hi there, I work as a fractional CTO on exactly your situation — Enerex where you've got engineers but no full-time technical lead and claims/EDI integration looks central to your growth. I led claims/EDI integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
144,10.5,Avolent,avolent.com,ERP integration (NetSuite/SAP/Dynamics),3,1,sap,0,0,,0,,,no,0,0,,,$5M - $10M,Software Development,depends on sap; no full-time CTO detected,"Hi there, I work as a fractional CTO on exactly your situation — Avolent where you've got engineers but no full-time technical lead and ERP integration (NetSuite/SAP/Dynamics) looks central to your growth. I led ERP integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
145,10.5,Trice,triceimaging.com,EHR/clinical-data integration (Epic/athena/HL7-FHIR),3,1,hl7,0,0,,0,,,no,0,6,27,0.222,$1M - $5M,Medical Equipment Manufacturing,depends on hl7; no full-time CTO detected; 6 technical of ~27 staff (ratio 0.222),"Hi there, I work as a fractional CTO on exactly your situation — Trice where you've got engineers but no full-time technical lead and EHR/clinical-data integration (Epic/athena/HL7-FHIR) looks central to your growth. I led EHR/clinical-data integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
146,10.5,Vitesse Automation,vitesseautomation.com,EHR/clinical-data integration (Epic/athena/HL7-FHIR),3,1,interoperability,0,0,,0,,,no,0,3,15,0.2,$1M - $5M,Software Development,depends on interoperability; no full-time CTO detected; 3 technical of ~15 staff (ratio 0.2),"Hi there, I work as a fractional CTO on exactly your situation — Vitesse Automation where you've got engineers but no full-time technical lead and EHR/clinical-data integration (Epic/athena/HL7-FHIR) looks central to your growth. I led EHR/clinical-data integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
147,10.5,Twin Prime,twinprime.com,Salesforce integration,3,1,salesforce,0,0,,0,,,no,0,0,,,$5M - $10M,Software Development,depends on salesforce; no full-time CTO detected,"Hi there, I work as a fractional CTO on exactly your situation — Twin Prime where you've got engineers but no full-time technical lead and Salesforce integration looks central to your growth. I led Salesforce integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
148,10.5,SqlDBM,sqldbm.com,data-warehouse integration (Snowflake/Databricks),3,1,snowflake|databricks,0,0,,0,,,no,1,6,47,0.128,$10M - $25M,Software Development,"depends on snowflake, databricks; no full-time CTO detected; 6 technical of ~47 staff (ratio 0.128)","Hi there, I work as a fractional CTO on exactly your situation — SqlDBM where you've got engineers but no full-time technical lead and data-warehouse integration (Snowflake/Databricks) looks central to your growth. I led data-warehouse integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
149,10.5,Saturn Cloud,saturncloud.io,data-warehouse integration (Snowflake/Databricks),3,1,snowflake,0,0,,0,,,no,1,2,40,0.05,$1M - $5M,Software Development,depends on snowflake; no full-time CTO detected; 2 technical of ~40 staff (ratio 0.05),"Hi there, I work as a fractional CTO on exactly your situation — Saturn Cloud where you've got engineers but no full-time technical lead and data-warehouse integration (Snowflake/Databricks) looks central to your growth. I led data-warehouse integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
150,10.5,SalesWarp Distributed Order Management,saleswarp.com,Salesforce integration,3,1,netsuite|salesforce,0,0,,0,,,no,0,3,15,0.2,$1M - $5M,Software Development,"depends on netsuite, salesforce; no full-time CTO detected; 3 technical of ~15 staff (ratio 0.2)","Hi there, I work as a fractional CTO on exactly your situation — SalesWarp Distributed Order Management where you've got engineers but no full-time technical lead and Salesforce integration looks central to your growth. I led Salesforce integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
151,10.5,Nest Genomics (YC W22),nestgenomics.com,EHR/clinical-data integration (Epic/athena/HL7-FHIR),3,1,emr integration,0,0,,0,,,no,0,1,16,0.062,$5M - $10M,Software Development,depends on emr integration; no full-time CTO detected; 1 technical of ~16 staff (ratio 0.062),"Hi there, I work as a fractional CTO on exactly your situation — Nest Genomics (YC W22) where you've got engineers but no full-time technical lead and EHR/clinical-data integration (Epic/athena/HL7-FHIR) looks central to your growth. I led EHR/clinical-data integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
152,10.5,Houseware (acquired by LaunchDarkly),houseware.io,data-warehouse integration (Snowflake/Databricks),3,1,snowflake,0,0,,0,,,no,0,1,25,0.04,$1M - $5M,Software Development,depends on snowflake; no full-time CTO detected; 1 technical of ~25 staff (ratio 0.04),"Hi there, I work as a fractional CTO on exactly your situation — Houseware (acquired by LaunchDarkly) where you've got engineers but no full-time technical lead and data-warehouse integration (Snowflake/Databricks) looks central to your growth. I led data-warehouse integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
153,10.5,XRDNA,xrdna.io,EHR/clinical-data integration (Epic/athena/HL7-FHIR),3,1,interoperability,0,0,,0,,,no,0,0,5,,$1M - $5M,Software Development,depends on interoperability; no full-time CTO detected,"Hi there, I work as a fractional CTO on exactly your situation — XRDNA where you've got engineers but no full-time technical lead and EHR/clinical-data integration (Epic/athena/HL7-FHIR) looks central to your growth. I led EHR/clinical-data integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
154,10.5,Vivify Health,vivifyhealth.com,EHR/clinical-data integration (Epic/athena/HL7-FHIR),3,1,ehr integration,0,0,,0,,,no,0,20,39,0.513,$1M - $5M,Software Development,depends on ehr integration; no full-time CTO detected; 20 technical of ~39 staff (ratio 0.513),"Hi there, I work as a fractional CTO on exactly your situation — Vivify Health where you've got engineers but no full-time technical lead and EHR/clinical-data integration (Epic/athena/HL7-FHIR) looks central to your growth. I led EHR/clinical-data integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
155,10.5,Virtana Corp.,virtana.com,ServiceNow integration,3,1,servicenow,0,0,,0,,,no,4,20,160,0.125,$1M - $5M,Software Development,depends on servicenow; no full-time CTO detected; 20 technical of ~160 staff (ratio 0.125),"Hi there, I work as a fractional CTO on exactly your situation — Virtana Corp. where you've got engineers but no full-time technical lead and ServiceNow integration looks central to your growth. I led ServiceNow integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
156,10.5,Tourial,tourial.com,Salesforce integration,3,1,salesforce,0,0,,0,,,no,0,0,5,,$1M - $5M,Software Development,depends on salesforce; no full-time CTO detected,"Hi there, I work as a fractional CTO on exactly your situation — Tourial where you've got engineers but no full-time technical lead and Salesforce integration looks central to your growth. I led Salesforce integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
157,10.5,SubBase,subbase.io,Workday/HRIS integration,3,1,workday,0,0,,0,,,no,0,4,39,0.103,$1M - $5M,Software Development,depends on workday; no full-time CTO detected; 4 technical of ~39 staff (ratio 0.103),"Hi there, I work as a fractional CTO on exactly your situation — SubBase where you've got engineers but no full-time technical lead and Workday/HRIS integration looks central to your growth. I led Workday/HRIS integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
158,10.5,Revisto,revisto.com,Veeva Vault integration,3,1,veeva|veeva vault,0,0,,0,,,no,1,0,20,,$1M - $5M,Software Development,"depends on veeva, veeva vault; no full-time CTO detected","Hi there, I work as a fractional CTO on exactly your situation — Revisto where you've got engineers but no full-time technical lead and Veeva Vault integration looks central to your growth. I led Veeva Vault integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
159,10.5,Fleet,movewthfleet.com,Workday/HRIS integration,3,1,hris integration,0,0,,0,,,no,0,0,81,,$1M - $5M,Software Development,depends on hris integration; no full-time CTO detected,"Hi there, I work as a fractional CTO on exactly your situation — Fleet where you've got engineers but no full-time technical lead and Workday/HRIS integration looks central to your growth. I led Workday/HRIS integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
160,10.5,Grayscale,grayscaleapp.com,Workday/HRIS integration,3,1,workday|sap,0,0,,0,,lever,no,0,9,58,0.155,$5M - $10M,Software Development,"depends on workday, sap; no full-time CTO detected; 9 technical of ~58 staff (ratio 0.155)","Hi there, I work as a fractional CTO on exactly your situation — Grayscale where you've got engineers but no full-time technical lead and Workday/HRIS integration looks central to your growth. I led Workday/HRIS integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
161,10.5,Eved,eved.com,ERP integration (NetSuite/SAP/Dynamics),3,1,sap,0,0,,0,,,no,0,1,35,0.029,$10M - $25M,Software Development,depends on sap; no full-time CTO detected; 1 technical of ~35 staff (ratio 0.029),"Hi there, I work as a fractional CTO on exactly your situation — Eved where you've got engineers but no full-time technical lead and ERP integration (NetSuite/SAP/Dynamics) looks central to your growth. I led ERP integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
162,10.5,Perspecsys,perspecsys.com,Salesforce integration,3,1,servicenow|salesforce,0,0,,0,,,no,0,0,5,,$10M - $25M,Software Development,"depends on servicenow, salesforce; no full-time CTO detected","Hi there, I work as a fractional CTO on exactly your situation — Perspecsys where you've got engineers but no full-time technical lead and Salesforce integration looks central to your growth. I led Salesforce integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
163,10.5,Omnity Network,omnity.network,EHR/clinical-data integration (Epic/athena/HL7-FHIR),3,1,interoperability,0,0,,0,,,no,0,0,20,,$5M - $10M,Software Development,depends on interoperability; no full-time CTO detected,"Hi there, I work as a fractional CTO on exactly your situation — Omnity Network where you've got engineers but no full-time technical lead and EHR/clinical-data integration (Epic/athena/HL7-FHIR) looks central to your growth. I led EHR/clinical-data integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
164,10.5,Frontier-IQ,frontier-iq.com,EHR/clinical-data integration (Epic/athena/HL7-FHIR),3,1,emr integration,0,0,,0,,,no,0,20,18,1.111,$1M - $5M,Software Development,depends on emr integration; no full-time CTO detected; 20 technical of ~18 staff (ratio 1.111),"Hi there, I work as a fractional CTO on exactly your situation — Frontier-IQ where you've got engineers but no full-time technical lead and EHR/clinical-data integration (Epic/athena/HL7-FHIR) looks central to your growth. I led EHR/clinical-data integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
165,10.5,BrainCheck,braincheck.com,EHR/clinical-data integration (Epic/athena/HL7-FHIR),3,1,ehr integration,0,0,,0,,,no,1,7,56,0.125,$10M - $25M,Software Development,depends on ehr integration; no full-time CTO detected; 7 technical of ~56 staff (ratio 0.125),"Hi there, I work as a fractional CTO on exactly your situation — BrainCheck where you've got engineers but no full-time technical lead and EHR/clinical-data integration (Epic/athena/HL7-FHIR) looks central to your growth. I led EHR/clinical-data integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
166,10.5,Bonsai Health,bonsaihealth.com,EHR/clinical-data integration (Epic/athena/HL7-FHIR),3,1,ehr integration,0,0,,0,,,no,0,1,30,0.033,$5M - $10M,Software Development,depends on ehr integration; no full-time CTO detected; 1 technical of ~30 staff (ratio 0.033),"Hi there, I work as a fractional CTO on exactly your situation — Bonsai Health where you've got engineers but no full-time technical lead and EHR/clinical-data integration (Epic/athena/HL7-FHIR) looks central to your growth. I led EHR/clinical-data integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
167,10.5,"Routespring, Inc.",gallop.ai,ERP integration (NetSuite/SAP/Dynamics),3,1,netsuite,0,0,,0,,,no,0,3,293,0.01,$1M - $5M,"Technology, Information and Internet",depends on netsuite; no full-time CTO detected; 3 technical of ~293 staff (ratio 0.01),"Hi there, I work as a fractional CTO on exactly your situation — Routespring, Inc. where you've got engineers but no full-time technical lead and ERP integration (NetSuite/SAP/Dynamics) looks central to your growth. I led ERP integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
168,10.5,Aidin,myaidin.com,EHR/clinical-data integration (Epic/athena/HL7-FHIR),3,1,epic,0,0,,0,,,no,0,4,86,0.047,$1M - $5M,Hospitals and Health Care,depends on epic; no full-time CTO detected; 4 technical of ~86 staff (ratio 0.047),"Hi there, I work as a fractional CTO on exactly your situation — Aidin where you've got engineers but no full-time technical lead and EHR/clinical-data integration (Epic/athena/HL7-FHIR) looks central to your growth. I led EHR/clinical-data integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
169,10.5,Medtel.com,medtel.com,EHR/clinical-data integration (Epic/athena/HL7-FHIR),3,1,emr integration,0,0,,0,,,no,0,1,18,0.056,$5M - $10M,Hospitals and Health Care,depends on emr integration; no full-time CTO detected; 1 technical of ~18 staff (ratio 0.056),"Hi there, I work as a fractional CTO on exactly your situation — Medtel.com where you've got engineers but no full-time technical lead and EHR/clinical-data integration (Epic/athena/HL7-FHIR) looks central to your growth. I led EHR/clinical-data integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
170,10.5,ServiceWhale,servicewhale.com,Salesforce integration,3,1,salesforce,0,0,,0,,,no,0,1,16,0.062,$1M - $5M,"Technology, Information and Internet",depends on salesforce; no full-time CTO detected; 1 technical of ~16 staff (ratio 0.062),"Hi there, I work as a fractional CTO on exactly your situation — ServiceWhale where you've got engineers but no full-time technical lead and Salesforce integration looks central to your growth. I led Salesforce integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
171,10.5,Interopay Inc.,interopay.com,ERP integration (NetSuite/SAP/Dynamics),3,1,erp integration,0,0,,0,,,no,0,0,4,,$1M - $5M,Financial Services,depends on erp integration; no full-time CTO detected,"Hi there, I work as a fractional CTO on exactly your situation — Interopay Inc. where you've got engineers but no full-time technical lead and ERP integration (NetSuite/SAP/Dynamics) looks central to your growth. I led ERP integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
172,10.5,Twenty,twenty.com,Salesforce integration,3,1,salesforce,2,2,Staff Data Engineer - TS/SCI Cleared | Staff Data Engineer,0,,ashby,yes,1,1,34,0.029,$10M - $25M,"Technology, Information and Internet",depends on salesforce; hiring 2 integration/API role(s) (Staff Data Engineer - TS/SCI Cleared | Staff Data Engineer); 1 technical of ~34 staff (ratio 0.029),"Hi there, I work as a fractional CTO on exactly your situation — Twenty where you're hiring for integration work. I led Salesforce integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
173,10.5,Row Zero,rowzero.com,data-warehouse integration (Snowflake/Databricks),3,1,snowflake|databricks,0,0,,0,,,no,0,6,19,0.316,$10M - $25M,Data Infrastructure and Analytics,"depends on snowflake, databricks; no full-time CTO detected; 6 technical of ~19 staff (ratio 0.316)","Hi there, I work as a fractional CTO on exactly your situation — Row Zero where you've got engineers but no full-time technical lead and data-warehouse integration (Snowflake/Databricks) looks central to your growth. I led data-warehouse integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
174,10.5,"RevOps: CPQ, Approvals, and Deal Desk",revops.io,Salesforce integration,3,1,salesforce,0,0,,0,,,no,1,2,7,0.286,$5M - $10M,"Technology, Information and Internet",depends on salesforce; no full-time CTO detected; 2 technical of ~7 staff (ratio 0.286),"Hi there, I work as a fractional CTO on exactly your situation — RevOps: CPQ, Approvals, and Deal Desk where you've got engineers but no full-time technical lead and Salesforce integration looks central to your growth. I led Salesforce integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
175,10.5,Carta Healthcare,realyzeintelligence.com,EHR/clinical-data integration (Epic/athena/HL7-FHIR),3,1,ehr integration,0,0,,0,,greenhouse,no,1,8,127,0.063,$1M - $5M,Hospitals and Health Care,depends on ehr integration; no full-time CTO detected; 8 technical of ~127 staff (ratio 0.063),"Hi there, I work as a fractional CTO on exactly your situation — Carta Healthcare where you've got engineers but no full-time technical lead and EHR/clinical-data integration (Epic/athena/HL7-FHIR) looks central to your growth. I led EHR/clinical-data integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
176,10.5,Pip Care,pipcare.com,EHR/clinical-data integration (Epic/athena/HL7-FHIR),3,1,emr integration,0,0,,0,,,no,0,0,20,,$5M - $10M,Hospitals and Health Care,depends on emr integration; no full-time CTO detected,"Hi there, I work as a fractional CTO on exactly your situation — Pip Care where you've got engineers but no full-time technical lead and EHR/clinical-data integration (Epic/athena/HL7-FHIR) looks central to your growth. I led EHR/clinical-data integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
177,10.5,"Jump Technologies, Inc.",jumptech.com,EHR/clinical-data integration (Epic/athena/HL7-FHIR),3,1,epic|cerner,0,0,,0,,,no,0,4,15,0.267,$1M - $5M,Hospitals and Health Care,"depends on epic, cerner; no full-time CTO detected; 4 technical of ~15 staff (ratio 0.267)","Hi there, I work as a fractional CTO on exactly your situation — Jump Technologies, Inc. where you've got engineers but no full-time technical lead and EHR/clinical-data integration (Epic/athena/HL7-FHIR) looks central to your growth. I led EHR/clinical-data integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
178,10.5,Videra Health,viderahealth.com,EHR/clinical-data integration (Epic/athena/HL7-FHIR),3,1,ehr integration,0,0,,0,,,no,1,2,27,0.074,$5M - $10M,Hospitals and Health Care,depends on ehr integration; no full-time CTO detected; 2 technical of ~27 staff (ratio 0.074),"Hi there, I work as a fractional CTO on exactly your situation — Videra Health where you've got engineers but no full-time technical lead and EHR/clinical-data integration (Epic/athena/HL7-FHIR) looks central to your growth. I led EHR/clinical-data integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
179,10.5,SOAP Health,soap.health,EHR/clinical-data integration (Epic/athena/HL7-FHIR),3,1,ehr integration,0,0,,0,,,no,0,0,73,,$1M - $5M,Hospitals and Health Care,depends on ehr integration; no full-time CTO detected,"Hi there, I work as a fractional CTO on exactly your situation — SOAP Health where you've got engineers but no full-time technical lead and EHR/clinical-data integration (Epic/athena/HL7-FHIR) looks central to your growth. I led EHR/clinical-data integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
180,10.5,Play-it Health,playithealth.com,EHR/clinical-data integration (Epic/athena/HL7-FHIR),3,1,ehr integration,0,0,,0,,,no,0,0,6,,$1M - $5M,Wellness and Fitness Services,depends on ehr integration; no full-time CTO detected,"Hi there, I work as a fractional CTO on exactly your situation — Play-it Health where you've got engineers but no full-time technical lead and EHR/clinical-data integration (Epic/athena/HL7-FHIR) looks central to your growth. I led EHR/clinical-data integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
181,10.5,hc1,halfpenny.com,EHR/clinical-data integration (Epic/athena/HL7-FHIR),3,1,interoperability,0,0,,0,,,no,1,30,313,0.096,$1M - $5M,Hospitals and Health Care,depends on interoperability; no full-time CTO detected; 30 technical of ~313 staff (ratio 0.096),"Hi there, I work as a fractional CTO on exactly your situation — hc1 where you've got engineers but no full-time technical lead and EHR/clinical-data integration (Epic/athena/HL7-FHIR) looks central to your growth. I led EHR/clinical-data integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
182,10.5,"BoxedUp, Inc.",tryboxedup.com,ERP integration (NetSuite/SAP/Dynamics),3,1,erp integration,0,0,,0,,,no,0,1,8,0.125,$1M - $5M,"Technology, Information and Internet",depends on erp integration; no full-time CTO detected; 1 technical of ~8 staff (ratio 0.125),"Hi there, I work as a fractional CTO on exactly your situation — BoxedUp, Inc. where you've got engineers but no full-time technical lead and ERP integration (NetSuite/SAP/Dynamics) looks central to your growth. I led ERP integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
183,10.5,Gestalt,gestaltdiagnostics.com,EHR/clinical-data integration (Epic/athena/HL7-FHIR),3,1,interoperability,0,0,,0,,,no,2,7,35,0.2,$5M - $10M,Medical and Diagnostic Laboratories,depends on interoperability; no full-time CTO detected; 7 technical of ~35 staff (ratio 0.2),"Hi there, I work as a fractional CTO on exactly your situation — Gestalt where you've got engineers but no full-time technical lead and EHR/clinical-data integration (Epic/athena/HL7-FHIR) looks central to your growth. I led EHR/clinical-data integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
184,10.5,Pluto,getpluto.com,ERP integration (NetSuite/SAP/Dynamics),3,1,netsuite|microsoft dynamics,0,0,,0,,ashby,no,0,0,61,,$10M - $25M,Financial Services,"depends on netsuite, microsoft dynamics; no full-time CTO detected","Hi there, I work as a fractional CTO on exactly your situation — Pluto where you've got engineers but no full-time technical lead and ERP integration (NetSuite/SAP/Dynamics) looks central to your growth. I led ERP integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
185,10.5,SourceDay,sourceday.com,claims/EDI integration,3,1,erp integration|edi,0,0,,0,,,no,0,20,71,0.282,$25M - $50M,Software Development,"depends on erp integration, edi; no full-time CTO detected; 20 technical of ~71 staff (ratio 0.282)","Hi there, I work as a fractional CTO on exactly your situation — SourceDay where you've got engineers but no full-time technical lead and claims/EDI integration looks central to your growth. I led claims/EDI integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
186,10.5,Nowell Development,nowellgroup.com,ServiceNow integration,3,1,servicenow,0,0,,0,,,no,0,1,13,0.077,Under $1M,Software Development,depends on servicenow; no full-time CTO detected; 1 technical of ~13 staff (ratio 0.077),"Hi there, I work as a fractional CTO on exactly your situation — Nowell Development where you've got engineers but no full-time technical lead and ServiceNow integration looks central to your growth. I led ServiceNow integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
187,10.5,Giveffect,giveffect.com,system-to-system integration,3,1,,0,0,,0,,,no,0,2,16,0.125,Under $1M,Software Development,no full-time CTO detected; 2 technical of ~16 staff (ratio 0.125),"Hi there, I work as a fractional CTO on exactly your situation — Giveffect where you've got engineers but no full-time technical lead and system-to-system integration looks central to your growth. I led system-to-system integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
188,10.5,Nuvolo,nuvolo.com,ServiceNow integration,3,1,servicenow,0,0,,0,,,no,5,30,312,0.096,$25M - $50M,Software Development,depends on servicenow; no full-time CTO detected; 30 technical of ~312 staff (ratio 0.096),"Hi there, I work as a fractional CTO on exactly your situation — Nuvolo where you've got engineers but no full-time technical lead and ServiceNow integration looks central to your growth. I led ServiceNow integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
189,10.5,"VoCare, Inc.",vocare.com,EHR/clinical-data integration (Epic/athena/HL7-FHIR),3,1,interoperability,0,0,,0,,,no,0,0,12,,Under $1M,Medical Devices,depends on interoperability; no full-time CTO detected,"Hi there, I work as a fractional CTO on exactly your situation — VoCare, Inc. where you've got engineers but no full-time technical lead and EHR/clinical-data integration (Epic/athena/HL7-FHIR) looks central to your growth. I led EHR/clinical-data integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
190,10.5,Format Health,formathealth.com,EHR/clinical-data integration (Epic/athena/HL7-FHIR),3,1,ehr integration,0,0,,0,,,no,0,2,5,0.4,Under $1M,Hospitals and Health Care,depends on ehr integration; no full-time CTO detected; 2 technical of ~5 staff (ratio 0.4),"Hi there, I work as a fractional CTO on exactly your situation — Format Health where you've got engineers but no full-time technical lead and EHR/clinical-data integration (Epic/athena/HL7-FHIR) looks central to your growth. I led EHR/clinical-data integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
191,10.5,Rollio AI,rollio.ai,Salesforce integration,3,1,salesforce,0,0,,0,,,no,4,0,8,,Under $1M,Software Development,depends on salesforce; no full-time CTO detected,"Hi there, I work as a fractional CTO on exactly your situation — Rollio AI where you've got engineers but no full-time technical lead and Salesforce integration looks central to your growth. I led Salesforce integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
192,10.5,Voiceoc,voiceoc.com,EHR/clinical-data integration (Epic/athena/HL7-FHIR),3,1,emr integration,0,0,,0,,,no,0,0,21,,Under $1M,Software Development,depends on emr integration; no full-time CTO detected,"Hi there, I work as a fractional CTO on exactly your situation — Voiceoc where you've got engineers but no full-time technical lead and EHR/clinical-data integration (Epic/athena/HL7-FHIR) looks central to your growth. I led EHR/clinical-data integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
193,10.5,Neurologik,neurologik.io,ERP integration (NetSuite/SAP/Dynamics),3,1,sap,0,0,,0,,,no,0,0,3,,Under $1M,Software Development,depends on sap; no full-time CTO detected,"Hi there, I work as a fractional CTO on exactly your situation — Neurologik where you've got engineers but no full-time technical lead and ERP integration (NetSuite/SAP/Dynamics) looks central to your growth. I led ERP integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
